0ebd8270-9c52-4819-8089-36474ec73dd6;PILOTING1;19;6;1;2;0;5000;0;0;22;0;
f0040be4-fb9e-4755-9383-e39bfd33aaf3;FALCON_REACTOR;5;7;2;2;0;3000;0;0;38;0;1;
6968fabc-809a-4626-b293-d75f95326502;FALCON_ENGINES;4;6;1;2;0;1000;0;0;20;0;1;
c74ce1e8-1be1-4d82-822b-5060de27e517;WEAPONS_CONTROL1;16;8;2;1;0;2000;0;0;3;0;
fef500c9-7935-4185-b5cf-c7c90c302c25;FALCON_SHIELDS;17;6;2;2;0;1000;0;0;57;0;1;
9640a59a-8c43-4752-84e9-91032b795aa5;FALCON_SENSORS;16;5;2;1;0;1000;0;0;2;0;1;
e85bbaa0-d393-48cc-a442-64204e7a18a2;FALCON_O2;12;7;1;2;0;1000;1;0;20;1;1;
87464740-9393-473a-b0b2-cd21dfa6b880;MEDICAL1;12;5;1;2;0;2000;0;0;20;0;
1b63e9e1-cb33-4255-b8bf-f620335d6b29;FALCON_DC;10;4;1;2;0;1000;0;0;31;0;1;
235c15e3-fe6e-4277-b8f9-e2eb55b59add;CAPACITOR1;10;8;1;2;0;2000;0;0;0;0;
